Aspect,총합,Total Count,긍정수,부정수,중립수
품질/디자인/구성,10414,10414,1313,329,55
편의성/활용성,10414,10414,1579,83,27
효과/성능/기능,10414,10414,2814,333,115
사용감/착용감,10414,10414,1414,406,64
사이즈/무게/개수,10414,10414,192,81,11
가격,10414,10414,707,216,6
,10414,10414,187,30,7
제조/유통/서비스,10414,10414,9,6,0
