Aspect,총합,Total Count,긍정수,부정수,중립수
사용감/착용감,71089,71089,8012,3729,558
효과/성능/기능,71089,71089,20501,2803,956
,71089,71089,2630,580,113
품질/디자인/구성,71089,71089,7635,2711,366
편의성/활용성,71089,71089,11449,708,200
가격,71089,71089,3470,1047,37
사이즈/무게/개수,71089,71089,791,385,54
제조/유통/서비스,71089,71089,41,42,0
