Aspect,총합,긍정수,부정수,중립수
사용감/착용감,551,86,11,4
효과/성능/기능,551,178,9,3
편의성/활용성,551,77,7,1
사이즈/무게/개수,551,12,3,0
품질/디자인/구성,551,57,12,1
,551,15,1,0
가격,551,46,8,0
