Aspect,총합,긍정수,부정수,중립수
사용감/착용감,195,28,5,0
효과/성능/기능,195,48,5,1
품질/디자인/구성,195,24,6,1
편의성/활용성,195,36,0,0
가격,195,17,5,1
,195,4,0,0
사이즈/무게/개수,195,5,0,0
