Aspect,총합,긍정수,부정수,중립수
편의성/활용성,1668,270,23,3
가격,1668,73,34,0
품질/디자인/구성,1668,195,69,18
효과/성능/기능,1668,442,67,15
사이즈/무게/개수,1668,33,18,0
사용감/착용감,1668,210,76,8
,1668,33,8,0
제조/유통/서비스,1668,1,1,0
