Aspect,총합,긍정수,부정수,중립수
가격,96,7,2,0
품질/디자인/구성,96,11,2,0
사용감/착용감,96,18,2,1
효과/성능/기능,96,24,2,0
편의성/활용성,96,21,1,0
,96,1,0,0
