Aspect,총합,긍정수,부정수,중립수
편의성/활용성,5342,808,45,13
가격,5342,348,111,4
품질/디자인/구성,5342,681,184,29
효과/성능/기능,5342,1412,190,57
사용감/착용감,5342,697,244,27
사이즈/무게/개수,5342,104,35,6
,5342,93,18,3
제조/유통/서비스,5342,5,4,0
