Aspect,총합,긍정수,부정수,중립수
사이즈/무게/개수,2352,61,17,2
편의성/활용성,2352,349,20,4
효과/성능/기능,2352,624,48,17
가격,2352,166,57,0
품질/디자인/구성,2352,330,68,11
사용감/착용감,2352,331,65,16
제조/유통/서비스,2352,8,1,0
,2352,33,4,1
