Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,2446,339,60,11
편의성/활용성,2446,380,16,6
효과/성능/기능,2446,649,64,17
사용감/착용감,2446,363,75,18
사이즈/무게/개수,2446,38,21,5
가격,2446,162,66,2
,2446,48,4,1
제조/유통/서비스,2446,1,1,0
