Aspect,총합,긍정수,부정수,중립수
사용감/착용감,870,130,36,4
효과/성능/기능,870,224,29,14
품질/디자인/구성,870,106,35,4
편의성/활용성,870,130,6,3
가격,870,30,23,1
사이즈/무게/개수,870,21,10,0
,870,11,3,2
제조/유통/서비스,870,0,1,0
