Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,3916,470,117,17
편의성/활용성,3916,609,28,12
효과/성능/기능,3916,1108,97,43
사용감/착용감,3916,571,114,26
사이즈/무게/개수,3916,67,33,5
가격,3916,260,94,2
,3916,73,7,3
제조/유통/서비스,3916,2,2,0
