Aspect,총합,긍정수,부정수,중립수
사이즈/무게/개수,818,11,6,1
효과/성능/기능,818,224,32,7
편의성/활용성,818,133,6,3
사용감/착용감,818,110,40,5
,818,12,5,1
품질/디자인/구성,818,96,28,8
가격,818,46,12,0
제조/유통/서비스,818,1,0,0
