Aspect,총합,긍정수,부정수,중립수
가격,285,37,0,0
사용감/착용감,285,45,4,0
효과/성능/기능,285,87,6,2
,285,4,0,0
품질/디자인/구성,285,42,1,0
편의성/활용성,285,35,2,0
사이즈/무게/개수,285,6,1,0
