Aspect,총합,긍정수,부정수,중립수
가격,1774,147,29,0
품질/디자인/구성,1774,253,43,8
효과/성능/기능,1774,507,37,14
편의성/활용성,1774,274,14,3
사용감/착용감,1774,245,42,13
사이즈/무게/개수,1774,28,14,0
,1774,26,5,1
제조/유통/서비스,1774,6,0,0
