Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,934,138,31,6
편의성/활용성,934,146,2,3
효과/성능/기능,934,246,22,7
사용감/착용감,934,111,45,6
사이즈/무게/개수,934,22,9,1
가격,934,56,32,0
,934,16,2,1
