Aspect,총합,긍정수,부정수,중립수
사용감/착용감,1152,145,48,11
효과/성능/기능,1152,293,46,15
품질/디자인/구성,1152,162,28,9
,1152,21,5,1
편의성/활용성,1152,161,10,2
사이즈/무게/개수,1152,21,13,0
가격,1152,99,11,0
제조/유통/서비스,1152,2,0,0
