Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,1214,147,40,5
효과/성능/기능,1214,328,31,15
가격,1214,91,27,2
사용감/착용감,1214,161,48,4
편의성/활용성,1214,185,15,3
사이즈/무게/개수,1214,28,7,1
,1214,24,2,1
제조/유통/서비스,1214,0,1,0
