Aspect,총합,긍정수,부정수,중립수
사이즈/무게/개수,2060,45,15,2
,2060,46,1,0
편의성/활용성,2060,326,18,3
효과/성능/기능,2060,592,44,14
품질/디자인/구성,2060,268,61,10
가격,2060,122,57,0
사용감/착용감,2060,271,66,16
