Aspect,총합,긍정수,부정수,중립수
효과/성능/기능,93,23,6,1
품질/디자인/구성,93,10,3,0
사용감/착용감,93,12,4,0
편의성/활용성,93,18,1,1
가격,93,8,1,0
사이즈/무게/개수,93,1,0,0
,93,2,0,0
