Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,2447,312,60,10
효과/성능/기능,2447,647,77,14
사용감/착용감,2447,350,83,10
가격,2447,182,57,3
편의성/활용성,2447,389,14,1
,2447,50,7,2
사이즈/무게/개수,2447,46,23,3
제조/유통/서비스,2447,1,0,0
