Aspect,총합,긍정수,부정수,중립수
사용감/착용감,783,145,22,9
효과/성능/기능,783,217,20,4
품질/디자인/구성,783,104,22,0
,783,10,2,1
편의성/활용성,783,101,6,2
가격,783,54,14,0
사이즈/무게/개수,783,11,6,0
제조/유통/서비스,783,2,0,0
