Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,824,97,35,5
사용감/착용감,824,101,38,8
효과/성능/기능,824,225,33,9
편의성/활용성,824,140,3,2
,824,7,0,0
사이즈/무게/개수,824,15,3,1
가격,824,53,12,0
제조/유통/서비스,824,1,0,0
