Aspect,총합,긍정수,부정수,중립수
사용감/착용감,1278,155,57,9
효과/성능/기능,1278,329,54,15
가격,1278,110,20,1
품질/디자인/구성,1278,159,35,9
편의성/활용성,1278,170,17,3
사이즈/무게/개수,1278,28,11,1
,1278,24,8,2
제조/유통/서비스,1278,1,0,0
