Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,792,112,19,4
편의성/활용성,792,113,7,1
효과/성능/기능,792,217,18,5
사용감/착용감,792,111,24,5
사이즈/무게/개수,792,10,6,2
가격,792,67,19,0
,792,18,1,0
제조/유통/서비스,792,0,1,0
