Aspect,총합,긍정수,부정수,중립수
사용감/착용감,2739,339,124,19
효과/성능/기능,2739,724,107,38
,2739,46,9,2
편의성/활용성,2739,416,26,9
품질/디자인/구성,2739,341,95,22
가격,2739,193,39,1
사이즈/무게/개수,2739,49,22,2
제조/유통/서비스,2739,4,0,0
