Aspect,총합,긍정수,부정수,중립수
가격,801,65,11,2
사용감/착용감,801,118,20,1
품질/디자인/구성,801,95,27,9
효과/성능/기능,801,217,22,5
편의성/활용성,801,127,4,1
사이즈/무게/개수,801,19,4,1
제조/유통/서비스,801,2,1,0
,801,6,4,1
