Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,771,105,21,2
효과/성능/기능,771,213,28,7
,771,16,4,0
편의성/활용성,771,111,2,0
사용감/착용감,771,90,35,4
사이즈/무게/개수,771,15,5,1
가격,771,64,15,0
제조/유통/서비스,771,1,0,0
