Aspect,총합,긍정수,부정수,중립수
사용감/착용감,725,119,17,4
효과/성능/기능,725,211,15,4
가격,725,28,16,1
,725,15,3,0
편의성/활용성,725,114,5,1
품질/디자인/구성,725,101,16,4
사이즈/무게/개수,725,12,5,0
