Aspect,총합,긍정수,부정수,중립수
,632,15,1,0
편의성/활용성,632,105,6,4
효과/성능/기능,632,168,20,14
품질/디자인/구성,632,85,25,8
사용감/착용감,632,81,29,2
가격,632,30,7,0
사이즈/무게/개수,632,6,8,0
제조/유통/서비스,632,2,0,0
