Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,2317,283,71,5
편의성/활용성,2317,333,14,3
효과/성능/기능,2317,663,70,24
가격,2317,183,49,0
사용감/착용감,2317,309,83,14
,2317,46,7,0
사이즈/무게/개수,2317,45,15,2
제조/유통/서비스,2317,3,3,0
