Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,927,126,25,3
효과/성능/기능,927,221,31,8
편의성/활용성,927,153,4,4
사용감/착용감,927,133,34,9
가격,927,66,31,1
사이즈/무게/개수,927,16,10,3
제조/유통/서비스,927,1,0,0
,927,15,0,1
