Aspect,총합,긍정수,부정수,중립수
사용감/착용감,2904,401,124,13
효과/성능/기능,2904,776,92,36
품질/디자인/구성,2904,349,103,17
편의성/활용성,2904,449,27,9
가격,2904,168,62,3
사이즈/무게/개수,2904,60,23,2
,2904,47,10,4
제조/유통/서비스,2904,1,2,0
