Aspect,총합,긍정수,부정수,중립수
효과/성능/기능,4702,1471,170,64
사용감/착용감,4702,632,131,26
품질/디자인/구성,4702,504,249,34
편의성/활용성,4702,752,70,18
가격,4702,181,15,5
사이즈/무게/개수,4702,57,17,4
,4702,87,16,5
제조/유통/서비스,4702,2,0,0
