Aspect,총합,긍정수,부정수,중립수
효과/성능/기능,15629,3501,726,195
,15629,229,35,11
품질/디자인/구성,15629,1480,492,118
편의성/활용성,15629,2877,176,40
사용감/착용감,15629,2326,210,38
가격,15629,935,142,6
사이즈/무게/개수,15629,1133,195,16
제조/유통/서비스,15629,25,6,0
