Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,165,23,5,0
사용감/착용감,165,30,1,3
효과/성능/기능,165,42,4,0
편의성/활용성,165,25,2,1
가격,165,11,7,0
,165,2,0,1
사이즈/무게/개수,165,2,2,0
