Aspect,총합,긍정수,부정수,중립수
,669,16,2,1
편의성/활용성,669,103,4,1
품질/디자인/구성,669,91,19,2
가격,669,53,10,1
사용감/착용감,669,83,25,4
효과/성능/기능,669,177,24,3
사이즈/무게/개수,669,15,6,0
