Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,481,68,9,1
편의성/활용성,481,65,5,0
효과/성능/기능,481,135,18,2
가격,481,49,11,0
사용감/착용감,481,60,13,3
사이즈/무게/개수,481,8,4,1
,481,6,2,0
