Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,223,23,9,0
사용감/착용감,223,41,8,3
효과/성능/기능,223,59,7,1
,223,3,0,0
가격,223,9,3,0
편의성/활용성,223,30,2,1
사이즈/무게/개수,223,2,4,0
제조/유통/서비스,223,2,0,0
