Aspect,총합,긍정수,부정수,중립수
품질/디자인/구성,587,69,10,4
효과/성능/기능,587,146,13,3
사용감/착용감,587,96,22,3
가격,587,43,20,1
,587,16,1,0
사이즈/무게/개수,587,9,6,1
편의성/활용성,587,98,2,0
제조/유통/서비스,587,1,0,0
