Aspect,총합,긍정수,부정수,중립수
,172,3,1,0
편의성/활용성,172,18,0,0
효과/성능/기능,172,56,2,0
사용감/착용감,172,33,4,1
가격,172,15,3,0
사이즈/무게/개수,172,3,0,0
품질/디자인/구성,172,25,4,0
