Aspect,총합,긍정수,부정수,중립수
사용감/착용감,218,39,9,2
효과/성능/기능,218,58,7,3
편의성/활용성,218,28,2,0
가격,218,19,1,0
품질/디자인/구성,218,32,4,0
사이즈/무게/개수,218,4,0,0
,218,2,1,0
