Aspect,총합,긍정수,부정수,중립수
편의성/활용성,703,120,3,0
가격,703,37,16,1
품질/디자인/구성,703,84,21,3
효과/성능/기능,703,186,22,6
사용감/착용감,703,111,23,0
사이즈/무게/개수,703,14,7,1
,703,12,2,1
